feedback_id,text,sku,channel,created_at,order_id
FB0024,收到的锅盖边缘有裂纹，已经拍照申请换货，希望尽快处理。,双枪-汤锅-24cm,电商评论,2026-09-10 16:12:00,MOCK202609100024
FB0025,说明书没有写第一次使用要不要浸泡，照着网上方法做完还是有油味。,炊大皇-不粘锅-28cm,客服聊天,2026-09-10 19:20:00,MOCK202609100025
FB0026,物流显示签收了，但我没有收到，联系快递后才知道放在了邻居门口。,苏泊尔-炒锅-30cm,客服聊天,2026-09-11 08:34:00,MOCK202609110026
FB0027,买家秀里有木铲和锅盖，实际套装没有木铲，感觉宣传容易让人误解。,双枪-炒锅套装,电商评论,2026-09-11 10:28:00,MOCK202609110027
FB0028,这个锅在小型电磁炉上加热很慢，页面没有说明功率要求。,爱仕达-汤锅-20cm,电商评论,2026-09-11 12:46:00,MOCK202609110028
FB0029,申请退款已经五天了，平台显示商家处理中，一直没有进展。,炊大皇-煎锅-26cm,客服聊天,2026-09-11 15:03:00,MOCK202609110029
FB0030,满199减50的活动最后只减了20，客服解释规则时前后不一致。,苏泊尔-奶锅-18cm,直播间,2026-09-11 18:37:00,MOCK202609110030
FB0031,锅底粘得越来越严重，已经影响正常做饭，希望能确认是不是同一批次问题。,双枪-炒锅-28cm,电商评论,2026-09-12 09:10:00,MOCK202609120031
FB0032,刚洗完发现涂层边缘有脱落，担心继续使用会混到食物里。,双枪-炒锅-28cm,客服聊天,2026-09-12 10:22:00,MOCK202609120032
FB0033,锅面有几处小黑点，怎么刷都刷不掉，和新锅状态不符。,双枪-炒锅-28cm,电商评论,2026-09-12 12:08:00,MOCK202609120033
FB0034,客服回复说是不粘锅正常磨损，但我只用了三次，处理态度需要改进。,双枪-炒锅-28cm,客服聊天,2026-09-12 14:41:00,MOCK202609120034
FB0035,锅盖玻璃有雾气，开火后很久都散不掉，影响观察食材。,苏泊尔-汤锅-24cm,电商评论,2026-09-12 16:55:00,MOCK202609120035
FB0036,赠品硅胶垫没有放在箱子里，问客服后说要补发，目前还没寄出。,炊大皇-厨具三件套,客服聊天,2026-09-13 09:27:00,MOCK202609130036
FB0037,这款锅比直播里说的轻便很多，实际拿起来很沉，描述不准确。,苏泊尔-铸铁锅-30cm,直播间,2026-09-13 11:18:00,MOCK202609130037
FB0038,锅底边缘有凹陷，导致锅放不平，像是运输过程中被压到了。,爱仕达-不粘锅-30cm,电商评论,2026-09-13 13:06:00,MOCK202609130038
FB0039,按照页面尺寸买的，放进橱柜后发现高度超出，尺寸信息应该写完整。,双枪-汤锅-24cm,电商评论,2026-09-13 15:32:00,MOCK202609130039
FB0040,想换成同款新锅，客服只提供退款，没有说明换货流程。,炊大皇-煎锅-26cm,客服聊天,2026-09-13 17:49:00,MOCK202609130040
FB0041,炒饭时发现锅底受热不均，中间熟了，四周还是凉的。,爱仕达-炒锅-30cm,电商评论,2026-09-14 08:18:00,MOCK202609140041
FB0042,锅耳的螺丝有点松，拎满水的锅时会晃，建议出厂前检查。,苏泊尔-汤锅-24cm,电商评论,2026-09-14 09:44:00,MOCK202609140042
FB0043,客服承诺当天补发配件，已经过了两天还查不到物流信息。,炊大皇-厨具三件套,客服聊天,2026-09-14 11:27:00,MOCK202609140043
FB0044,清洁时不能用钢丝球这一点写得太隐蔽，第一次使用就不小心把表面擦花了。,炊大皇-不粘锅-28cm,电商评论,2026-09-14 13:52:00,MOCK202609140044
FB0045,收到的颜色和直播展示的深灰不一样，实际偏银色，页面色差说明不明显。,双枪-炒锅-28cm,直播间,2026-09-14 15:16:00,MOCK202609140045
FB0046,优惠活动结束后才发现会员券不能叠加，规则入口太难找。,苏泊尔-炒锅-30cm,电商评论,2026-09-14 16:38:00,MOCK202609140046
FB0047,锅体出现裂纹，使用时有漏汤情况，已经停止使用，希望尽快退款。,爱仕达-汤锅-20cm,客服聊天,2026-09-14 18:02:00,MOCK202609140047
FB0048,用了三个月后锅底明显发黑，普通洗洁精很难清理。,苏泊尔-炒锅-30cm,电商评论,2026-09-14 19:25:00,MOCK202609140048
FB0049,包装里有水汽，锅身摸起来有一层油，像是仓库存放时间太久。,双枪-奶锅-18cm,电商评论,2026-09-14 20:14:00,MOCK202609140049
FB0050,请问这口锅可以放进烤箱吗？详情页只写了可用于燃气灶和电磁炉。,炊大皇-煎锅-26cm,客服聊天,2026-09-14 21:03:00,MOCK202609140050
